DATE,DATE_FOR_TIME,TIME,LIC_TYPE,COUNT,MAX_COUNT,ALLOWED
07-MAY-17,07-MAY-17,11.30.07 PM,4,7,8,100
08-MAY-17,08-MAY-17,11.30.09 PM,1,61,68,100
08-MAY-17,08-MAY-17,11.30.09 PM,2,16,18,100
08-MAY-17,08-MAY-17,11.30.09 PM,4,9,10,100
09-MAY-17,09-MAY-17,11.30.01 PM,1,67,73,100
09-MAY-17,09-MAY-17,11.30.01 PM,2,18,24,100
09-MAY-17,09-MAY-17,11.30.01 PM,4,12,12,100
10-MAY-17,10-MAY-17,11.30.00 PM,1,66,77,100
10-MAY-17,10-MAY-17,11.30.00 PM,2,27,27,100
10-MAY-17,10-MAY-17,11.30.00 PM,4,5,12,100
11-MAY-17,11-MAY-17,11.30.09 PM,1,63,78,10100
11-MAY-17,11-MAY-17,11.30.09 PM,2,21,28,10100
11-MAY-17,11-MAY-17,11.30.09 PM,4,6,8,10100
12-MAY-17,12-MAY-17,11.30.01 PM,1,41,83,10100
12-MAY-17,12-MAY-17,11.30.01 PM,2,16,25,10100
12-MAY-17,12-MAY-17,11.30.01 PM,4,2,7,10100
13-MAY-17,13-MAY-17,11.30.02 PM,1,41,44,10100
13-MAY-17,13-MAY-17,11.30.02 PM,2,15,17,10100
13-MAY-17,13-MAY-17,11.30.02 PM,4,3,3,10100
14-MAY-17,14-MAY-17,11.30.02 PM,1,62,62,10100
14-MAY-17,14-MAY-17,11.30.02 PM,2,23,23,10100
14-MAY-17,14-MAY-17,11.30.02 PM,4,5,5,10100
15-MAY-17,15-MAY-17,11.30.12 PM,1,95,103,10100
15-MAY-17,15-MAY-17,11.30.12 PM,2,33,33,10100
15-MAY-17,15-MAY-17,11.30.12 PM,4,9,9,10100
16-MAY-17,16-MAY-17,11.30.08 PM,1,75,92,10100
16-MAY-17,16-MAY-17,11.30.08 PM,2,30,30,10100
16-MAY-17,16-MAY-17,11.30.08 PM,4,6,10,10100
17-MAY-17,17-MAY-17,11.30.02 PM,1,86,101,10100
17-MAY-17,17-MAY-17,11.30.02 PM,2,28,28,10100
17-MAY-17,17-MAY-17,11.30.02 PM,4,3,7,10100
18-MAY-17,18-MAY-17,11.30.01 PM,1,72,108,10100
18-MAY-17,18-MAY-17,11.30.01 PM,2,25,31,10100
18-MAY-17,18-MAY-17,11.30.01 PM,4,4,6,10100
19-MAY-17,19-MAY-17,11.30.03 PM,1,60,97,10100
19-MAY-17,19-MAY-17,11.30.03 PM,2,19,25,10100
19-MAY-17,19-MAY-17,11.30.03 PM,4,1,6,10100
20-MAY-17,20-MAY-17,11.30.03 PM,1,62,62,10100
20-MAY-17,20-MAY-17,11.30.03 PM,2,18,19,10100
20-MAY-17,20-MAY-17,11.30.03 PM,4,1,1,10100
21-MAY-17,21-MAY-17,11.30.03 PM,1,113,113,10100
21-MAY-17,21-MAY-17,11.30.03 PM,2,32,32,10100
21-MAY-17,21-MAY-17,11.30.03 PM,4,5,6,10100
22-MAY-17,22-MAY-17,11.30.01 PM,1,110,135,10100
22-MAY-17,22-MAY-17,11.30.01 PM,2,33,37,10100
22-MAY-17,22-MAY-17,11.30.01 PM,4,4,7,10100
23-MAY-17,23-MAY-17,11.30.03 PM,1,124,146,10100
23-MAY-17,23-MAY-17,11.30.03 PM,2,34,34,10100
23-MAY-17,23-MAY-17,11.30.03 PM,4,5,5,10100
24-MAY-17,24-MAY-17,11.30.02 PM,1,132,148,10100
24-MAY-17,24-MAY-17,11.30.02 PM,2,35,36,10100
24-MAY-17,24-MAY-17,11.30.02 PM,4,4,6,10100
25-MAY-17,25-MAY-17,11.30.05 PM,1,133,190,10100
25-MAY-17,25-MAY-17,11.30.05 PM,2,38,42,10100
25-MAY-17,25-MAY-17,11.30.05 PM,4,5,5,10100
26-MAY-17,26-MAY-17,11.30.01 PM,1,124,172,10100
26-MAY-17,26-MAY-17,11.30.01 PM,2,27,39,10100
26-MAY-17,26-MAY-17,11.30.01 PM,4,1,4,10100
27-MAY-17,27-MAY-17,11.30.03 PM,1,121,125,10100
27-MAY-17,27-MAY-17,11.30.03 PM,2,28,29,10100
27-MAY-17,27-MAY-17,11.30.03 PM,4,2,2,10100
28-MAY-17,28-MAY-17,11.30.01 PM,1,152,152,10100
28-MAY-17,28-MAY-17,11.30.01 PM,2,41,41,10100
28-MAY-17,28-MAY-17,11.30.01 PM,4,6,6,10100
29-MAY-17,29-MAY-17,11.30.01 PM,1,158,162,10100
29-MAY-17,29-MAY-17,11.30.01 PM,2,42,43,10100
29-MAY-17,29-MAY-17,11.30.01 PM,4,6,8,10100
30-MAY-17,30-MAY-17,11.30.01 PM,1,155,196,10100
30-MAY-17,30-MAY-17,11.30.01 PM,2,35,46,10100
30-MAY-17,30-MAY-17,11.30.01 PM,4,8,8,10100
31-MAY-17,31-MAY-17,11.00.01 PM,1,169,182,10100
31-MAY-17,31-MAY-17,11.00.01 PM,2,40,43,10100
31-MAY-17,31-MAY-17,11.00.01 PM,4,5,8,10100
01-JUN-17,01-JUN-17,11.30.01 PM,1,169,203,10100
01-JUN-17,01-JUN-17,11.30.01 PM,2,41,41,10100
01-JUN-17,01-JUN-17,11.30.01 PM,4,5,6,10100
02-JUN-17,02-JUN-17,11.30.03 PM,1,152,199,10100
02-JUN-17,02-JUN-17,11.30.03 PM,2,40,46,10100
02-JUN-17,02-JUN-17,11.30.03 PM,4,1,7,10100
03-JUN-17,03-JUN-17,11.30.01 PM,1,156,156,10100
03-JUN-17,03-JUN-17,11.30.01 PM,2,39,40,10100
03-JUN-17,03-JUN-17,11.30.01 PM,4,1,1,10100
04-JUN-17,04-JUN-17,11.30.01 PM,1,177,177,10100
04-JUN-17,04-JUN-17,11.30.01 PM,2,45,45,10100
04-JUN-17,04-JUN-17,11.30.01 PM,4,5,5,10100
05-JUN-17,05-JUN-17,11.30.03 PM,1,183,217,10100
05-JUN-17,05-JUN-17,11.30.03 PM,2,49,52,10100
05-JUN-17,05-JUN-17,11.30.03 PM,4,5,5,10100
06-JUN-17,06-JUN-17,11.30.01 PM,1,173,219,10100
06-JUN-17,06-JUN-17,11.30.01 PM,2,39,51,10100
06-JUN-17,06-JUN-17,11.30.01 PM,4,3,6,10100
26-JAN-17,26-JAN-17,11.00.02 PM,1,3,25,24
26-JAN-17,26-JAN-17,11.00.02 PM,2,0,1,0
26-JAN-17,26-JAN-17,11.00.02 PM,4,0,2,0
07-JUN-17,07-JUN-17,12.30.01 AM,1,180,180,10100
07-JUN-17,07-JUN-17,12.30.01 AM,2,43,43,10100
07-JUN-17,07-JUN-17,12.30.01 AM,4,3,3,10100
26-JUN-17,26-JUN-17,11.30.06 PM,1,0,0,10100
26-JUN-17,26-JUN-17,11.30.06 PM,2,0,0,10100
26-JUN-17,26-JUN-17,11.30.06 PM,4,0,0,10100
27-JUN-17,27-JUN-17,11.30.06 PM,1,0,0,10100
27-JUN-17,27-JUN-17,11.30.06 PM,2,0,0,10100
27-JUN-17,27-JUN-17,11.30.06 PM,4,0,0,10100
28-JUN-17,28-JUN-17,11.30.06 PM,1,0,0,10100
28-JUN-17,28-JUN-17,11.30.06 PM,2,0,0,10100
28-JUN-17,28-JUN-17,11.30.06 PM,4,0,0,10100
29-JUN-17,29-JUN-17,11.30.06 PM,1,0,0,10100
29-JUN-17,29-JUN-17,11.30.06 PM,2,0,0,10100
29-JUN-17,29-JUN-17,11.30.06 PM,4,0,0,10100
30-JUN-17,30-JUN-17,11.30.06 PM,1,0,0,10100
30-JUN-17,30-JUN-17,11.30.06 PM,2,0,0,10100
30-JUN-17,30-JUN-17,11.30.06 PM,4,0,0,10100
01-JUL-17,01-JUL-17,11.30.06 PM,1,0,0,10100
01-JUL-17,01-JUL-17,11.30.06 PM,2,0,0,10100
01-JUL-17,01-JUL-17,11.30.06 PM,4,0,0,10100
02-JUL-17,02-JUL-17,11.30.01 PM,1,0,0,10100
02-JUL-17,02-JUL-17,11.30.01 PM,2,0,0,10100
02-JUL-17,02-JUL-17,11.30.01 PM,4,0,0,10100
03-JUL-17,03-JUL-17,11.30.01 PM,1,0,0,10100
03-JUL-17,03-JUL-17,11.30.01 PM,2,0,0,10100
03-JUL-17,03-JUL-17,11.30.01 PM,4,0,0,10100
04-JUL-17,04-JUL-17,04.00.05 AM,1,0,0,10100
04-JUL-17,04-JUL-17,04.00.05 AM,2,0,0,10100
04-JUL-17,04-JUL-17,04.00.05 AM,4,0,0,10100
25-JAN-17,25-JAN-17,02.00.01 AM,1,2,2,100
25-JAN-17,25-JAN-17,02.00.01 AM,2,0,0,100
25-JAN-17,25-JAN-17,02.00.01 AM,4,0,0,100
